lexid,first_name,last_name,ssn,dob,age,gender
8888090937,Sherwood,Brisset,423-86-2868,06-08-1944,79,Male
8888090938,Carree,Spare,414-10-2716,01-10-1958,65,Female
8888090939,Odele,Merman,318-40-7982,18-10-1985,38,Female
8888090940,Ursuline,Moreman,690-60-2662,09-04-1969,54,Female
8888090941,Zak,Harrhy,539-04-6042,20-02-1975,48,Male
8888090942,Gregorius,Spenclay,735-32-3155,03-10-1975,48,Male
8888090943,Locke,Warrilow,520-08-5563,08-02-1962,61,Male
8888090944,Sim,Lavalde,283-12-8358,12-08-2007,16,Male
8888090945,Jackie,Dunstan,414-99-2955,12-09-1992,31,Female
8888090946,Aura,Kinsett,255-15-9688,02-10-1940,83,Female
8888090947,Connie,Korn,284-38-6043,17-08-1973,50,Male
8888090948,Constancia,Vashchenko,585-99-8691,25-03-1969,54,Female
8888090949,Alix,Giron,795-25-6926,01-11-1966,57,Male
8888090950,Carlin,Hargreaves,158-86-2158,01-05-1951,72,Male
8888090951,Fayette,Renzini,350-48-3335,29-06-1943,80,Female
8888090952,Everard,Bifield,556-89-7425,18-07-2000,23,Male
8888090953,Cazzie,Admans,303-66-4291,16-07-1947,76,Male
8888090954,Leland,Braizier,575-84-4652,08-01-1948,75,Male
8888090955,Gardner,Benbough,466-64-8063,18-12-1961,62,Male
8888090956,Nevin,Wince,537-87-3406,04-08-2006,17,Male
8888090957,Chariot,Rayner,631-89-8199,13-05-1999,24,Male
8888090958,Forest,Stawell,124-60-7578,02-01-1973,50,Male
8888090959,Elspeth,Townby,899-33-0439,28-03-2001,22,Female
8888090960,Pierrette,Alexis,102-85-8671,23-04-1943,80,Female
8888090961,Shannah,Witherby,286-25-7211,03-11-1960,63,Female
8888090962,Hermia,Bridger,653-98-8403,27-01-1965,58,Female
8888090963,Maren,Mar,398-44-6676,06-03-2005,18,Female
8888090964,Jude,Askie,361-21-7357,21-02-1949,74,Male
8888090965,Stesha,Jerrome,409-05-8128,14-01-1946,77,Female
8888090966,Taffy,Feifer,378-56-4468,12-09-1995,28,Female
8888090967,Marlow,Freestone,694-10-1255,02-05-1999,24,Male
8888090968,Trista,Bernhardsson,128-37-6429,14-11-2003,20,Female
8888090969,Antonino,Feronet,198-15-3519,12-04-2001,22,Male
8888090970,Demetris,Walrond,560-26-1972,06-02-1952,71,Female
8888090971,Devondra,Kippin,579-96-5730,14-01-2009,14,Female
8888090972,Felicia,Baelde,884-93-3365,13-09-1963,60,Female
8888090973,Ramsay,Pledge,893-94-8605,12-08-1961,62,Male
8888090974,Austin,Letchmore,499-81-7817,09-06-1985,38,Female
8888090975,Alina,Hrynczyk,525-06-3020,01-05-1969,54,Female
8888090976,Nadeen,Dutchburn,230-51-3320,02-05-2004,19,Female
8888090977,Kelcey,Jehan,640-11-7723,12-11-1972,51,Female
8888090978,Bert,Teesdale,185-84-9296,14-10-1998,25,Male
8888090979,Lewie,MacRierie,362-38-5200,07-10-1945,78,Male
8888090980,Judah,Bandy,820-49-2009,03-04-1968,55,Male
8888090981,Jeramie,Heddon,670-20-4850,21-08-1940,83,Male
8888090982,Fayina,MacCahey,711-22-7766,12-08-1965,58,Female
8888090983,Averell,Henighan,590-76-1549,08-10-1976,47,Male
8888090984,Johanna,Maling,882-69-4894,24-02-1981,42,Female
8888090985,Federica,O'Hollegan,523-99-3792,09-08-1952,71,Female
8888090986,Jermaine,Hawkings,557-68-2808,13-06-1955,68,Male
8888090987,Dall,Peyton,263-31-0177,05-04-1974,49,Male
8888090988,Stephine,Springthorpe,402-89-8585,22-09-2007,16,Female
8888090989,Faydra,Rushbrooke,158-37-4316,08-12-2007,16,Female
8888090990,Tab,Ivashkin,827-59-4741,19-07-1986,37,Male
8888090991,Kania,Jouandet,635-60-7527,08-10-1941,82,Female
8888090992,Krissy,Harrower,549-25-2223,10-06-1966,57,Female
8888090993,Marabel,Bruty,827-67-6825,12-12-1994,29,Female
8888090994,Dal,Bartolijn,192-34-9791,07-11-2008,15,Male
8888090995,Melvyn,Eliassen,102-13-9584,21-12-1988,35,Male
8888090996,Zebadiah,Aizikov,807-44-8308,28-12-1982,41,Male
8888090997,Gilberta,Ollenbuttel,266-84-7965,27-08-1969,54,Female
8888090998,Ramon,Winsborrow,406-42-3891,16-11-1965,58,Male
8888090999,Reinhard,Nottle,368-25-0869,06-01-1995,28,Male
8888091000,Niven,Childes,440-30-4572,21-12-1979,44,Male
8888091001,Druci,Finnis,268-31-3850,25-02-1968,55,Female
8888091002,Costa,Megson,714-60-4115,02-11-1962,61,Male
8888091003,Paulette,Dabney,853-31-9427,13-11-1987,36,Female
8888091004,Gwynne,Bosson,764-55-5162,30-03-2002,21,Female
8888091005,Lorinda,Trahmel,161-67-9362,27-09-2002,21,Female
8888091006,Zaccaria,Farrimond,750-63-0041,13-03-2008,15,Male
8888091007,Mathias,Upcott,570-35-8541,06-10-1963,60,Male
8888091008,Thia,Parkisson,121-73-8829,21-05-2001,22,Female
8888091009,Berget,Peever,725-85-9172,25-02-2006,17,Female
8888091010,Harley,Wilkins,854-25-6699,30-11-1968,55,Male
8888091011,Son,Josifovitz,515-11-8983,19-01-1998,25,Male
8888091012,Tadeas,MacInerney,793-95-1653,21-03-1973,50,Male
8888091013,Archambault,Bridger,554-22-1846,23-07-2003,20,Male
8888091014,Karlie,Beechcraft,723-48-5331,03-05-1968,55,Female
8888091015,Caterina,Skein,728-21-0357,05-11-1972,51,Female
8888091016,Katleen,Peasnone,120-39-8577,06-07-1958,65,Female
8888091017,Hatti,Broughton,645-27-3807,20-11-1972,51,Female
8888091018,Jammal,Moulin,855-97-9926,10-06-1955,68,Male
8888091019,Jasmina,Shadfourth,456-77-3898,14-11-1971,52,Female
8888091020,Jobye,Savell,581-37-6193,28-08-1992,31,Female
8888091021,Brier,Hammerton,643-35-0098,22-05-2007,16,Female
8888091022,Cherilyn,Beazey,797-60-6811,19-10-1967,56,Female
8888091023,Ambrosius,Fresson,651-69-7880,08-08-1955,68,Male
8888091024,Emerson,Hagland,464-51-1267,29-03-1970,53,Male
8888091025,Vin,Dafter,532-05-2961,24-03-1990,33,Male
8888091026,Gavra,Hursthouse,284-05-7694,09-11-2005,18,Female
8888091027,Weylin,Asken,789-62-9390,12-05-1957,66,Male
8888091028,Jeramey,Tuckley,558-94-2749,15-02-1951,72,Male
8888091029,Jo-ann,Parncutt,719-96-2431,21-12-1949,74,Female
